Season,Age,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TK,GV,Awards,W,WIN_PERT
2009-10,21,20,0,1,1,-3,20,0,0,0,0,1,0,0,32,0,49,239,11:58,3,8,27.3,4,20,8,6,,39,48%
2010-11,22,77,21,20,41,25,51,14,2,5,2,18,1,1,149,14.1,227,1077,13:59,8,17,32,30,89,36,39,Calder-12Selke-24,46,56%
2011-12,23,76,28,27,55,31,87,22,5,1,3,24,1,2,167,16.8,274,1339,17:37,5,4,55.6,21,72,40,41,AS-20Selke-35,49,60%
2012-13,24,45,18,18,36,23,27,12,4,2,5,18,0,0,91,19.8,157,763,16:58,6,6,50,20,38,28,32,AS-11Selke-43,28,34%
2013-14,25,82,25,28,53,36,64,19,1,5,5,27,1,0,149,16.8,247,1308,15:57,6,17,26.1,23,73,46,51,,54,66%
2014-15,26,77,24,18,42,5,95,20,2,2,5,17,0,1,180,13.3,312,1301,16:54,13,19,40.6,28,72,52,45,,41,50%
2015-16,27,77,37,24,61,21,90,27,6,4,6,20,2,2,250,14.8,395,1432,18:36,21,35,37.5,35,65,43,69,AS-5Selke-25,42,51%
2016-17,28,80,39,46,85,18,81,27,9,3,8,29,15,2,226,17.3,408,1555,19:26,13,23,36.1,35,51,69,84,AS-1AS-8Hart-7Selke-12,44,54%
2017-18,29,68,34,51,85,25,63,25,8,1,8,33,15,3,182,18.7,308,1341,19:43,50,76,39.7,25,37,58,76,AS-4Hart-11Selke-10,50,61%
2018-19,30,79,36,64,100,15,96,23,10,3,9,36,24,4,231,15.6,430,1550,19:37,45,60,42.9,19,46,59,84,,49,60%